victim_date,role,victim,age
2017-01-02,CONDUCTOR,MOTO,18
2017-01-05,PASAJERO_ACOMPAÑANTE,CARGAS,33
2017-01-11,PEATON,PEATON,48
2017-01-16,CONDUCTOR,MOTO,29
2017-01-16,CONDUCTOR,MOTO,36
2017-01-16,CONDUCTOR,MOTO,23
2017-01-22,PASAJERO_ACOMPAÑANTE,MOTO,29
2017-01-24,CONDUCTOR,MOTO,30
2017-01-27,PEATON,PEATON,4
2017-01-28,PASAJERO_ACOMPAÑANTE,MOTO,22
2017-02-02,PEATON,PEATON,82
2017-02-03,CONDUCTOR,MOTO,27
2017-02-06,CONDUCTOR,MOTO,32
2017-02-09,CONDUCTOR,MOTO,30
2017-02-18,CONDUCTOR,MOTO,43
2017-02-23,PEATON,PEATON,39
2017-02-24,CONDUCTOR,MOTO,23
2017-02-26,PASAJERO_ACOMPAÑANTE,AUTO,23
2017-02-26,CONDUCTOR,AUTO,19
2017-02-26,PEATON,PEATON,-1
2017-02-28,PEATON,PEATON,87
2017-03-07,CONDUCTOR,AUTO,27
2017-03-11,PASAJERO_ACOMPAÑANTE,AUTO,70
2017-03-12,PASAJERO_ACOMPAÑANTE,AUTO,40
2017-03-12,CONDUCTOR,AUTO,28
2017-03-13,PEATON,PEATON,43
2017-03-23,CONDUCTOR,AUTO,28
2017-03-23,PASAJERO_ACOMPAÑANTE,AUTO,32
2017-03-23,PASAJERO_ACOMPAÑANTE,AUTO,30
2017-03-29,PASAJERO_ACOMPAÑANTE,MOTO,-1
2017-03-29,CONDUCTOR,MOTO,20
2017-03-31,CONDUCTOR,MOTO,41
2017-04-01,CONDUCTOR,MOTO,40
2017-04-03,CONDUCTOR,AUTO,43
2017-04-03,CONDUCTOR,MOTO,17
2017-04-10,CONDUCTOR,MOTO,-1
2017-04-14,CONDUCTOR,MOTO,21
2017-04-23,CONDUCTOR,MOTO,37
2017-04-27,PEATON,PEATON,22
2017-04-28,CONDUCTOR,MOTO,46
2017-04-28,PASAJERO_ACOMPAÑANTE,MOTO,16
2017-05-01,CONDUCTOR,AUTO,33
2017-05-05,PEATON,PEATON,47
2017-05-05,CONDUCTOR,MOTO,28
2017-05-07,PASAJERO_ACOMPAÑANTE,MOTO,20
2017-05-09,CONDUCTOR,AUTO,32
2017-05-09,PEATON,PEATON,80
2017-05-11,PEATON,PEATON,39
2017-05-13,PASAJERO_ACOMPAÑANTE,MOTO,30
2017-05-15,PEATON,PEATON,47
2017-05-15,CONDUCTOR,MOTO,35
2017-05-17,PEATON,PEATON,79
2017-05-20,PASAJERO_ACOMPAÑANTE,CARGAS,61
2017-05-22,CICLISTA,BICICLETA,21
2017-05-22,PEATON,PEATON,10
2017-05-23,CONDUCTOR,MOTO,21
2017-05-27,CONDUCTOR,MOTO,32
2017-05-29,CONDUCTOR,MOTO,39
2017-05-30,PEATON,PEATON,80
2017-06-03,CONDUCTOR,AUTO,25
2017-06-04,CONDUCTOR,MOTO,19
2017-06-12,PEATON,PEATON,55
2017-06-13,PEATON,PEATON,30
2017-06-17,CONDUCTOR,MOTO,60
