victim_date,role,victim,age
2021-01-12,PASAJERO_ACOMPAÑANTE,MOTO,23
2021-01-18,CONDUCTOR,MOTO,84
2021-01-22,PEATON,PEATON,28
2021-01-23,CONDUCTOR,MOTO,31
2021-01-23,CONDUCTOR,MOTO,28
2021-01-27,PEATON,PEATON,21
2021-01-29,PEATON,PEATON,-1
2021-01-31,CONDUCTOR,MOTO,41
2021-02-02,PEATON,PEATON,28
2021-02-06,CONDUCTOR,MOTO,26
2021-02-14,CONDUCTOR,AUTO,22
2021-02-17,CONDUCTOR,MOTO,33
2021-02-20,PEATON,PEATON,36
2021-02-21,CONDUCTOR,MOTO,30
2021-02-21,PEATON,PEATON,-1
2021-02-26,CONDUCTOR,MOTO,39
2021-02-28,PASAJERO_ACOMPAÑANTE,PASAJEROS,68
2021-03-01,CONDUCTOR,MOTO,24
2021-03-03,CICLISTA,BICICLETA,5
2021-03-11,CONDUCTOR,MOTO,37
2021-03-15,CONDUCTOR,MOTO,36
2021-03-16,CONDUCTOR,MOTO,19
2021-03-29,PEATON,PEATON,-1
2021-03-31,CONDUCTOR,AUTO,26
2021-04-03,PEATON,PEATON,36
2021-04-07,PEATON,PEATON,68
2021-04-10,PEATON,PEATON,60
2021-04-14,CONDUCTOR,AUTO,33
2021-04-19,PASAJERO_ACOMPAÑANTE,MOTO,26
2021-05-03,CONDUCTOR,MOTO,24
2021-05-09,CONDUCTOR,MOTO,36
2021-05-11,PEATON,PEATON,58
2021-05-14,CONDUCTOR,MOTO,44
2021-05-15,CICLISTA,BICICLETA,86
2021-05-20,CONDUCTOR,MOTO,27
2021-05-20,PEATON,PEATON,75
2021-05-21,PEATON,PEATON,39
2021-05-22,PEATON,PEATON,50
2021-05-25,PASAJERO_ACOMPAÑANTE,MOTO,21
2021-05-26,CONDUCTOR,MOTO,22
2021-05-31,PASAJERO_ACOMPAÑANTE,AUTO,20
2021-06-02,CONDUCTOR,MOTO,59
2021-06-03,CICLISTA,BICICLETA,44
2021-06-03,CONDUCTOR,AUTO,74
2021-06-10,CONDUCTOR,MOTO,56
2021-06-15,PEATON,PEATON,73
2021-06-20,PASAJERO_ACOMPAÑANTE,MOTO,19
2021-06-20,PEATON,PEATON,58
2021-06-22,CONDUCTOR,MOTO,41
2021-06-29,PASAJERO_ACOMPAÑANTE,MOTO,47
2021-07-09,CICLISTA,BICICLETA,60
2021-07-10,CONDUCTOR,AUTO,46
2021-07-21,PEATON,PEATON,24
2021-07-22,PASAJERO_ACOMPAÑANTE,AUTO,44
2021-07-22,PEATON,PEATON,80
2021-07-24,PEATON,PEATON,55
2021-07-27,CONDUCTOR,AUTO,73
2021-08-02,PASAJERO_ACOMPAÑANTE,AUTO,31
2021-08-02,PEATON,PEATON,37
2021-08-06,PEATON,PEATON,63
2021-08-06,PEATON,PEATON,59
2021-08-08,CONDUCTOR,MOTO,27
2021-08-15,CONDUCTOR,MOTO,39
2021-08-20,PEATON,PEATON,17
2021-08-28,CONDUCTOR,MOTO,31
2021-08-31,PEATON,PEATON,88
2021-09-01,PEATON,PEATON,57
2021-09-18,CICLISTA,BICICLETA,76
2021-09-20,CONDUCTOR,MOTO,55
2021-09-21,PEATON,PEATON,65
2021-10-16,CONDUCTOR,MOTO,31
2021-10-18,CONDUCTOR,MOTO,31
2021-10-23,CONDUCTOR,MOTO,22
2021-10-25,PEATON,PEATON,-1
2021-10-28,CONDUCTOR,MOTO,32
2021-11-02,CONDUCTOR,MOTO,26
2021-11-06,CONDUCTOR,MOTO,38
2021-11-09,CONDUCTOR,MOTO,30
2021-11-11,CONDUCTOR,AUTO,32
2021-11-18,CICLISTA,BICICLETA,53
2021-11-20,CONDUCTOR,MOTO,49
2021-11-25,PEATON,PEATON,75
2021-11-27,PEATON,PEATON,73
2021-12-01,CONDUCTOR,MOTO,45
2021-12-02,CONDUCTOR,MOTO,41
2021-12-10,PEATON,PEATON,73
2021-12-11,CONDUCTOR,MOTO,24
2021-12-12,PEATON,PEATON,50
2021-12-13,PASAJERO_ACOMPAÑANTE,MOTO,18
2021-12-20,PASAJERO_ACOMPAÑANTE,MOTO,43
2021-12-30,CONDUCTOR,MOTO,27
2021-12-15,CONDUCTOR,AUTO,60
