n_victimas,fact_date,fact_time,comuna,street_type,alt_dir,street_name,cross_name,victim,accused,bike,car,pub_transp,bus,cyclist,severity
1,2019-01-01 00:00:00,09:00:00,14,SD,"Obligado Rafael, Av.Costanera 3300, Barrio: Palermo  , jurisdicción comisaria:  Vecinal 14C",,,CICLISTA,SD,SD,SD,SD,SD,x,SD
1,2019-01-01 00:00:00,01:55:00,8,SD,"Autopista Presidente Héctor J. Cámpora y Roca, Cnel. Av. 0, Barrio: Villa Soldati  , jurisdicción comisaria:  Vecinal 8B",,,AUTO,SD,SD,x,SD,SD,SD,SD
1,2019-01-01 00:00:00,02:00:00,8,SD,"Barros Pazos, Jose y Larraya 0, Barrio: Villa Lugano  , jurisdicción comisaria:  Vecinal 8A",,,SD,SD,SD,SD,SD,SD,SD,SD
1,2019-01-01 00:00:00,02:30:00,7,SD,"Torres Y Tenorio, Pres. y Riestra Av. 0, Barrio: Parque Chacabuco interior Pasaje Roldan, altura edificio 25 Barrio Rivadavia 1 , jurisdicción comisaria:  Vecinal 7B",,,PEATON,SD,x,SD,SD,SD,SD,SD
4,2019-01-01 00:00:00,04:30:00,3,SD,"Corrientes Av. y Uriburu Jose E., Pres. 0, Barrio: Balvanera  , jurisdicción comisaria:  Vecinal 3A",,,AUTO,SD,SD,SD,x,SD,SD,SD
2,2019-01-01 00:00:00,08:05:00,15,SD,"Cordoba Av. y Humboldt 0, Barrio: Chacarita  , jurisdicción comisaria:  Vecinal 15A",,,MOTO,SD,x,SD,SD,SD,SD,SD
1,2019-01-01 00:00:00,07:30:00,11,SD,"San Martin Av. y Paz, Gral. Av. 0, Barrio: Villa Devoto  , jurisdicción comisaria:  Vecinal 11B",,,MOTO,SD,x,SD,SD,SD,SD,SD
1,2019-01-01 00:00:00,07:15:00,9,SD,"Paz, Gral. Av. y Chavez, Jorge 0, Barrio: Liniers  , jurisdicción comisaria:  Vecinal 9B",,,AUTO,SD,SD,x,SD,SD,SD,SD
1,2019-01-01 00:00:00,09:36:00,1,SD,"Cordoba Av. y Alem, Leandro N. Av. 0, Barrio: Retiro  , jurisdicción comisaria:  Vecinal 1A",,,MOTO,SD,x,SD,SD,SD,x,SD
1,2019-01-01 00:00:00,12:24:00,4,SD,"Iguazu 946, Barrio: Nueva Pompeya  , jurisdicción comisaria:  Vecinal 4B",,,AUTO,SD,SD,x,SD,SD,SD,SD
1,2019-01-01 00:00:00,12:02:00,7,SD,"Riestra Av. y Rivera Indarte Av. 0, Barrio: Flores  , jurisdicción comisaria:  Vecinal 7A",,,AUTO,SD,SD,x,SD,SD,SD,SD
3,2019-01-01 00:00:00,13:40:00,11,SD,"Paz, Gral. Av. y Gutierrez, Ricardo 0, Barrio: Villa Devoto  , jurisdicción comisaria:  Vecinal 11B",,,AUTO,SD,SD,x,SD,SD,SD,SD
1,2019-01-01 00:00:00,13:00:00,4,SD,"Vieytes 1570, Barrio: Barracas  , jurisdicción comisaria:  Vecinal 4D",,,SD,SD,SD,SD,x,SD,SD,SD
1,2019-01-01 00:00:00,19:46:00,1,SD,"Ramos Mejia, Jose Maria, Dr. Av. y Gilardi, Gilardo 0, Barrio: Retiro  , jurisdicción comisaria:  Vecinal 1A",,,SD,SD,SD,SD,x,SD,SD,SD
1,2019-01-01 00:00:00,18:30:00,9,SD,"Leguizamon, Martiniano y Alberdi, Juan Bautista Av. 0, Barrio: Mataderos  , jurisdicción comisaria:  Vecinal 9A",,,AUTO,SD,x,SD,SD,SD,SD,SD
1,2019-01-01 00:00:00,18:50:00,12,SD,"De Los Constituyentes Av. y Tartagal Pje. 0, Barrio: Villa Pueyrredon  , jurisdicción comisaria:  Vecinal 12B",,,MOTO,SD,x,SD,SD,SD,SD,SD
1,2019-01-01 00:00:00,21:46:00,9,SD,"Bragado 7185, Barrio: Mataderos  , jurisdicción comisaria:  Vecinal 9A",,,AUTO,SD,x,SD,SD,SD,SD,SD
1,2019-01-01 00:00:00,03:00:00,2,SD,"Uriburu Jose E., Pres. y Paraguay 0, Barrio: Recoleta  , jurisdicción comisaria:  Vecinal 2B",,,SD,SD,SD,SD,SD,SD,SD,SD
1,2019-01-02 00:00:00,15:27:00,1,SD,"San Martin 299, Barrio: San Nicolas  , jurisdicción comisaria:  Vecinal 1D",,,CICLISTA,SD,SD,SD,SD,SD,x,SD
1,2019-01-02 00:00:00,07:01:00,5,SD,"AU 25 de Mayo altura La Plata mano al Centro , Barrio: Boedo  , jurisdicción comisaria:",,,MOTO,SD,x,SD,SD,SD,x,SD
5,2019-01-02 00:00:00,08:30:00,6,SD,"Rivadavia Av. y Hortiguera 0, Barrio: Caballito  , jurisdicción comisaria:  Vecinal 6B",,,TRANSPORTE PUBLICO,SD,SD,SD,x,SD,SD,SD
1,2019-01-02 00:00:00,12:00:00,5,SD,"Maza e Independencia Av., Barrio: Boedo  , jurisdicción comisaria:  Vecinal 5B",,,CAMIONETA,SD,SD,SD,SD,SD,SD,SD
1,2019-01-02 00:00:00,13:22:00,1,SD,"Alem, Leandro N. Av. y Alvear, Marcelo T. De 0, Barrio: Retiro  , jurisdicción comisaria:  Vecinal 1A",,,SD,SD,SD,SD,SD,SD,SD,SD
1,2019-01-02 00:00:00,12:32:00,14,SD,"Cabildo Av. 1287, Barrio: Palermo  , jurisdicción comisaria:  Vecinal 14B",,,PEATON,SD,SD,SD,x,SD,SD,SD
1,2019-01-02 00:00:00,13:57:00,13,SD,"Pedraza, Manuela y Amenabar 0, Barrio: Nuñez  , jurisdicción comisaria:  Vecinal 13B",,,MOTO,SD,x,SD,SD,SD,x,SD
1,2019-01-02 00:00:00,14:09:00,1,SD,"Alem, Leandro N. Av. y Alvear, Marcelo T. De 0, Barrio: Retiro  , jurisdicción comisaria:  Vecinal 1A",,,MOTO,SD,x,SD,SD,SD,SD,SD
